Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100)
86,33,34,8,2,60
83,40,30,8,3,69
84,32,32,8,3,72
93,40,35,8,2,76
85,39,30,8,3,61
86,32,31,8,3,68
92,30,35,7,3,76
86,34,40,9,2,78
100,40,37,8,4,82
92,37,31,8,2,67
84,28,31,7,2,53
93,32,40,9,3,75
93,31,31,7,3,67
84,36,32,8,2,69
85,27,32,7,3,65
94,37,36,8,3,74
84,27,29,6,2,53
76,28,26,6,2,48
85,27,32,7,2,52
81,28,31,7,3,60
95,34,40,7,4,81
93,33,37,7,3,76
88,40,40,10,3,90
73,23,26,6,2,41
82,35,33,9,3,72
86,36,35,7,3,66
83,37,38,8,4,82
86,32,29,6,2,59
73,30,23,7,3,49
100,40,28,7,3,83
95,36,40,10,3,81
84,31,30,6,3,66
100,37,38,7,3,75
78,32,34,8,3,65
90,36,29,8,2,69
83,36,22,8,3,51
97,34,34,8,3,71
91,34,28,9,2,65
97,40,33,9,2,70
87,25,40,7,3,66
68,21,26,5,1,26
85,33,35,9,3,72
87,37,33,8,4,76
81,32,35,8,3,72
78,36,33,9,3,54
95,34,34,8,2,68
94,32,39,8,3,74
77,28,26,7,3,43
73,30,28,6,3,54
91,36,37,8,3,68
82,26,28,5,2,43
70,19,21,6,2,32
73,30,35,7,3,60
85,39,24,8,3,66
93,35,32,9,3,72
73,33,35,7,3,61
86,32,27,6,2,56
100,33,39,8,3,77
69,33,26,8,3,62
75,29,26,6,2,48
78,26,27,6,3,51
75,26,31,7,2,46
100,40,36,8,3,91
83,27,34,7,2,58
84,27,34,8,2,58
86,29,35,8,3,67
60,23,34,8,2,48
77,27,28,8,3,50
97,40,35,9,3,78
94,37,34,8,3,73
82,25,29,6,3,52
77,21,31,8,3,59
81,37,33,8,3,68
93,28,31,6,3,62
87,24,35,7,3,56
93,34,35,8,3,77
77,31,39,7,3,62
84,26,28,6,2,59
97,37,35,9,3,82
78,27,38,8,1,56
72,28,32,7,3,55
95,38,38,8,3,84
86,35,31,8,3,66
87,31,32,8,3,70
75,29,28,6,2,47
78,32,26,6,3,55
83,37,30,7,3,64
76,30,33,8,3,61
95,40,37,9,3,76
99,33,37,9,3,76
91,38,32,8,2,66
79,32,36,8,3,66
88,40,34,9,3,82
73,27,33,6,3,51
91,28,29,7,3,62
88,34,29,6,2,65
82,29,28,7,2,51
90,36,34,7,3,69
81,25,33,6,3,60
87,32,33,8,2,64
100,36,37,7,4,88
99,39,34,8,4,93
85,35,24,7,2,59
81,29,32,8,2,59
84,30,36,7,3,66
80,28,31,7,2,58
83,33,32,8,3,78
76,31,25,7,2,49
87,30,25,6,3,54
88,32,35,7,4,75
75,32,38,7,3,63
87,30,38,8,3,67
85,28,40,7,4,74
86,34,33,8,2,73
88,30,40,8,3,86
89,33,31,8,2,55
94,34,40,9,4,81
97,28,40,7,4,77
93,35,35,8,4,74
84,35,40,9,3,82
81,25,36,7,2,61
88,28,31,8,3,64
89,30,31,7,2,68
84,28,29,8,3,66
99,33,36,9,3,71
84,30,28,6,3,62
91,38,36,9,3,80
87,33,29,7,3,63
84,27,32,6,2,53
78,30,33,8,2,62
81,32,32,7,3,62
95,34,36,8,3,68
72,28,25,5,3,43
87,31,40,7,2,69
86,34,31,8,3,67
70,23,24,6,3,37
77,23,31,6,3,45
91,33,32,9,3,70
86,31,36,7,3,69
93,29,39,8,2,74
80,28,35,6,3,68
89,33,40,8,5,85
83,37,33,8,3,71
75,28,26,7,3,54
72,31,29,6,3,54
90,39,35,9,3,75
75,33,27,6,2,58
79,29,31,6,3,56
86,37,23,7,2,53
69,30,25,7,2,50
73,32,29,8,3,48
75,28,23,7,4,50
84,36,27,8,2,63
96,37,34,9,3,76
88,36,32,7,2,67
87,30,39,8,3,77
89,29,36,8,3,66
100,40,32,10,4,84
75,27,28,6,2,49
90,35,34,8,4,78
86,40,38,9,3,80
93,36,36,9,3,83
92,38,32,8,3,74
94,39,40,9,2,81
86,33,32,7,3,67
85,37,29,7,3,75
85,35,35,7,3,69
92,38,35,8,4,80
79,34,33,8,3,65
87,30,35,9,3,64
82,34,34,7,3,69
85,26,37,6,3,51
85,36,26,6,3,60
90,35,37,8,3,78
82,26,27,7,3,49
82,32,30,8,4,69
90,33,35,9,2,71
74,33,32,6,2,58
89,35,39,9,2,76
88,31,35,6,3,61
95,37,36,9,3,81
86,29,34,7,3,63
79,35,37,8,2,64
100,35,35,8,4,82
94,39,39,8,3,78
90,29,31,7,3,58
85,22,37,7,3,58
93,33,34,8,2,65
77,33,27,7,3,62
83,29,26,5,2,52
83,30,33,9,2,68
81,27,38,6,3,59
98,35,40,8,2,69
82,28,37,7,3,62
79,30,34,8,2,66
96,40,37,9,4,85
88,31,36,8,3,65
79,25,26,7,3,53
82,24,33,6,3,55
93,40,40,8,3,84
85,37,31,7,3,71
83,33,36,9,3,68
84,37,37,9,3,79
100,32,40,8,3,84
100,33,40,10,3,81
85,34,36,10,2,68
83,37,35,9,3,64
81,40,32,8,2,63
72,27,24,6,2,45
76,36,26,8,3,51
81,32,31,7,2,55
82,33,32,8,2,59
80,33,32,8,3,66
73,27,32,7,2,56
100,33,35,8,4,76
98,37,33,8,2,82
70,32,29,8,2,46
100,34,40,8,4,81
80,37,33,9,3,71
94,40,40,9,4,89
99,38,37,8,3,78
82,33,24,8,2,61
91,38,37,9,4,79
100,38,36,9,2,75
84,30,37,8,3,62
87,26,40,8,2,68
62,33,23,6,2,42
84,26,32,7,3,59
85,33,33,8,3,74
87,40,32,8,3,70
79,29,29,7,2,52
83,35,36,8,3,71
88,38,35,8,4,77
87,38,25,8,2,66
98,25,35,7,4,68
67,20,28,6,2,37
75,30,24,6,3,52
83,34,30,7,2,68
100,37,35,9,2,77
90,29,35,8,2,71
89,34,32,8,3,66
75,35,25,7,3,59
89,36,32,8,3,69
93,39,40,9,2,77
87,37,30,7,3,69
84,33,40,8,3,71
72,26,24,7,2,39
78,28,23,6,2,47
100,37,39,9,4,84
97,40,40,9,4,90
72,25,33,7,2,51
84,37,31,8,4,67
78,40,34,9,3,68
82,31,28,7,3,56
77,28,33,8,3,56
95,34,35,7,3,74
87,37,35,8,3,75
93,37,40,8,3,80
88,40,40,8,2,81
81,29,30,7,2,47
82,35,31,8,2,61
80,29,31,7,4,59
80,29,26,6,2,50
80,25,38,6,3,61
93,37,35,10,4,79
79,33,32,7,4,61
84,33,30,8,3,68
93,40,28,9,2,66
86,37,35,7,3,72
69,28,31,7,3,54
76,29,25,6,2,43
88,34,40,9,4,82
85,36,36,8,3,75
82,35,26,7,3,61
87,19,31,6,3,58
90,25,32,7,3,66
89,36,31,8,3,73
75,35,27,7,3,58
76,28,31,9,3,62
94,36,28,8,3,75
88,29,34,8,3,62
89,31,30,7,4,66
80,36,33,10,3,65
86,33,37,7,4,70
91,37,40,9,3,78
80,29,30,7,3,61
71,33,27,8,2,53
91,34,31,8,3,63
81,34,37,8,3,70
80,31,29,7,3,62
94,34,37,7,4,78
81,35,30,8,2,71
85,28,30,5,3,52
100,40,34,9,2,82
76,35,31,7,3,65
92,32,38,9,3,74
85,30,39,9,3,73
82,28,34,6,3,63
83,31,38,6,3,68
70,30,26,6,2,47
83,33,31,8,2,65
65,23,33,8,2,47
86,24,38,8,3,60
85,35,38,8,3,72
89,35,33,8,3,66
84,37,32,8,4,71
86,37,38,8,4,85
93,31,33,7,2,72
82,31,26,7,2,43
76,30,30,7,2,50
79,25,30,7,3,54
88,34,40,8,3,77
78,33,27,8,2,61
79,35,26,7,2,52
97,38,37,9,3,84
77,24,31,7,2,48
90,37,35,8,3,76
86,36,28,7,3,65
82,35,29,7,3,63
100,31,40,9,3,75
91,34,38,9,3,73
86,34,38,8,3,75
85,38,32,8,3,70
97,33,40,9,3,80
91,36,32,8,3,68
85,40,36,8,3,73
74,33,30,6,3,57
80,32,39,8,3,69
87,37,32,8,3,74
91,36,33,8,3,62
92,36,29,7,3,62
77,28,27,6,2,50
89,28,33,6,4,60
75,34,29,8,2,61
79,31,25,6,3,46
91,32,32,8,3,64
79,31,29,7,3,56
95,37,26,7,3,64
86,35,26,7,3,63
76,32,25,6,3,65
79,28,28,6,3,52
84,29,27,7,3,60
77,28,36,7,3,64
92,31,35,7,3,60
88,37,39,8,3,69
88,30,33,8,2,63
98,36,29,8,3,70
89,29,36,7,2,60
88,23,39,9,2,64
80,32,37,8,3,72
89,40,40,9,2,80
83,31,30,7,3,60
88,35,34,8,5,78
86,35,36,8,2,78
86,33,30,8,3,60
86,25,26,6,3,50
82,32,34,8,3,73
77,31,31,7,3,66
90,34,31,7,2,62
81,30,34,7,3,56
91,34,38,9,3,74
82,26,37,8,3,66
81,29,36,8,4,78
89,39,35,7,3,67
80,28,32,8,2,55
81,33,30,7,3,62
90,32,36,7,3,68
74,30,31,7,3,59
83,33,34,7,3,58
82,30,31,6,3,53
74,29,28,6,3,64
89,33,29,7,3,70
92,35,38,8,2,84
80,20,26,7,1,47
87,40,32,9,3,75
85,27,34,9,3,57
85,35,31,7,3,66
91,27,36,8,3,71
90,28,32,6,3,53
76,30,32,9,3,62
86,33,32,8,4,67
84,33,24,6,3,54
94,32,37,9,3,76
84,25,26,5,3,42
85,32,36,8,2,66
82,32,34,8,2,64
82,30,32,8,3,59
63,22,34,6,3,48
85,37,33,8,3,67
78,27,32,6,3,58
81,32,28,7,2,59
100,40,33,8,3,81
81,35,38,8,3,77
94,39,33,9,3,81
81,27,36,8,2,64
70,34,27,7,3,57
80,27,34,8,3,65
92,33,40,9,4,91
82,30,24,7,4,61
86,27,38,6,2,59
88,27,40,7,2,70
87,39,39,9,3,81
95,36,40,8,2,75
86,35,37,8,3,80
92,37,33,9,2,63
95,40,36,9,4,81
91,39,34,8,3,83
72,26,29,6,2,47
83,32,36,8,3,67
85,35,32,9,3,64
52,20,21,5,1,25
88,27,36,8,2,64
74,35,28,8,2,56
99,37,40,9,3,83
71,25,29,7,3,54
86,30,29,7,3,61
62,25,24,7,2,38
91,30,35,7,2,67
77,26,26,6,3,49
87,32,34,8,3,63
70,27,24,7,3,47
79,29,30,7,2,54
93,39,31,7,3,72
86,33,30,7,4,62
79,25,26,6,3,47
90,28,35,7,3,62
82,24,31,6,3,47
96,34,40,9,4,81
91,31,35,8,3,67
97,40,34,8,3,80
80,33,33,8,3,67
100,37,40,9,3,76
76,34,35,8,2,66
69,21,24,7,1,36
98,38,34,7,3,75
87,39,40,8,3,80
77,32,27,6,2,63
100,33,38,7,3,77
80,38,31,8,3,65
85,30,30,8,3,63
89,33,40,9,3,74
77,29,30,8,3,58
90,36,29,8,3,76
78,31,31,6,3,49
78,29,31,6,2,48
97,33,40,9,3,78
97,30,40,8,3,72
85,31,35,7,3,75
76,35,37,8,3,67
69,28,30,6,3,43
83,26,33,7,3,59
89,32,35,7,3,74
86,37,25,8,3,58
79,33,26,8,2,47
96,37,38,10,3,82
90,33,33,8,2,69
86,28,31,7,3,58
81,33,33,9,2,67
77,30,37,8,3,65
83,30,38,8,2,61
72,26,21,6,3,34
97,36,40,8,4,84
81,29,29,7,3,63
86,30,36,9,4,72
70,21,22,7,4,38
88,40,34,8,3,72
92,27,37,8,3,73
100,40,40,9,3,87
95,40,37,9,2,80
87,34,31,8,3,72
81,35,34,8,2,75
81,30,23,7,2,53
87,30,31,7,3,64
79,25,37,7,2,62
77,27,35,7,3,59
85,30,39,8,3,70
82,32,39,7,3,73
91,34,40,8,4,79
75,35,35,9,3,74
78,32,27,7,3,58
85,32,32,8,3,70
78,22,30,6,3,51
82,32,35,7,3,67
75,29,31,7,4,61
78,26,27,6,2,50
94,28,39,7,3,65
95,32,35,8,3,75
83,36,33,7,3,63
95,34,39,8,3,80
83,31,30,8,2,59
79,21,35,7,3,50
95,35,32,8,2,72
100,40,39,8,2,82
100,40,40,8,3,88
100,40,36,9,4,84
72,29,27,7,2,49
95,35,40,9,3,87
93,28,40,7,3,72
79,32,34,9,3,65
92,40,36,9,3,83
90,35,40,8,3,74
71,29,29,7,3,50
79,29,39,8,3,60
76,34,38,8,2,62
100,37,40,9,3,83
100,39,39,9,4,88
96,38,29,8,3,74
100,32,35,8,4,78
87,36,29,9,3,58
88,31,36,8,4,65
85,26,35,8,3,71
84,30,30,7,3,57
92,35,37,10,3,85
70,23,40,7,2,50
71,33,37,8,3,66
82,31,31,8,3,65
79,27,30,7,2,42
69,21,31,6,3,42
98,34,40,7,4,82
100,40,40,9,3,82
95,34,27,7,3,63
84,33,34,7,3,61
90,32,37,9,3,74
86,26,31,7,3,56
83,28,26,7,3,53
73,26,30,6,3,51
82,40,38,9,3,80
88,40,31,8,3,77
80,32,29,7,4,68
89,29,31,6,3,67
90,24,31,7,2,53
81,27,31,7,2,47
83,30,33,7,3,63
72,36,31,8,2,64
88,28,32,8,2,58
81,28,29,7,3,62
81,29,27,6,3,44
98,34,40,8,3,83
78,36,30,8,3,63
97,34,33,8,3,64
95,37,40,9,3,73
87,38,30,7,3,61
91,34,34,8,3,82
85,30,28,8,3,57
85,37,29,8,3,77
100,35,39,8,3,83
87,30,33,7,2,63
87,30,33,7,3,69
81,32,37,8,3,62
86,38,29,8,3,72
79,28,29,7,3,59
81,31,26,6,3,54
87,37,27,7,3,68
84,30,27,7,2,52
83,37,28,8,3,63
78,33,33,7,3,74
88,36,34,8,3,74
85,32,32,8,2,53
82,28,36,7,2,65
89,33,27,7,3,64
85,29,37,8,3,66
84,32,29,7,3,66
94,34,31,8,3,70
94,40,35,8,3,78
91,35,33,7,3,67
83,40,40,9,3,80
81,29,40,9,3,68
97,37,37,9,4,84
98,36,35,8,3,69
99,37,40,9,3,79
71,26,27,6,2,46
91,40,30,8,4,74
77,28,31,7,3,52
92,28,33,6,3,67
94,38,37,8,4,84
78,32,34,8,2,66
90,40,39,9,2,74
86,31,28,7,3,63
86,39,36,9,4,79
81,37,29,7,2,65
83,28,37,7,2,58
82,30,34,8,2,57
84,31,29,6,3,55
79,40,28,8,3,67
81,36,29,8,3,64
79,29,28,6,3,57
80,32,35,7,3,65
72,30,23,7,3,51
91,35,38,8,2,68
98,29,36,8,3,76
85,29,32,8,2,54
83,23,30,5,3,47
93,28,27,5,4,51
98,40,40,8,3,81
82,30,26,7,3,53
76,29,27,7,3,62
89,39,35,8,2,77
90,34,35,9,3,77
91,40,39,9,4,88
76,29,30,7,2,51
87,35,30,8,3,64
77,26,29,7,3,51
88,30,30,8,3,69
85,36,26,7,4,64
93,36,38,9,3,75
90,37,40,9,3,88
87,38,35,9,3,71
92,39,39,9,3,77
90,33,25,7,3,65
87,38,34,10,2,75
73,33,40,8,3,64
89,33,28,8,2,58
94,30,39,8,4,74
89,31,31,7,2,64
89,37,34,9,3,77
80,32,27,7,2,57
89,30,34,9,3,66
80,35,25,7,2,58
71,29,30,7,3,48
87,33,25,7,3,54
98,40,35,9,3,85
71,26,38,6,3,59
98,36,38,9,3,80
87,32,34,7,3,67
69,30,25,7,3,53
79,32,33,8,4,71
90,28,32,7,2,55
93,37,40,9,2,83
84,35,37,9,2,72
80,28,39,8,2,58
96,40,36,9,3,85
94,34,34,8,3,78
81,30,35,8,2,64
82,27,27,7,3,54
85,30,28,8,3,61
85,35,33,8,3,64
82,31,32,6,3,68
97,25,34,7,3,59
92,34,39,9,4,80
79,26,28,6,2,47
77,32,30,8,3,65
79,35,31,8,2,60
93,35,36,8,3,65
93,37,35,8,4,73
72,21,29,6,3,55
100,38,36,8,3,78
83,29,40,8,3,62
90,39,36,8,3,69
95,39,38,8,3,82
80,31,34,7,2,63
85,35,30,8,2,57
90,35,34,8,3,70
72,27,33,7,2,45
81,28,31,6,2,54
85,39,36,8,2,69
92,30,40,6,3,69
87,38,33,7,3,77
85,32,30,7,3,64
89,34,32,8,2,70
90,33,36,7,3,62
84,29,28,7,3,55
77,33,36,8,3,75
70,31,28,8,2,52
82,32,32,7,2,61
89,33,35,8,2,75
76,24,26,6,3,47
76,23,26,5,3,39
91,32,35,9,4,72
93,40,34,8,3,78
94,40,40,8,3,79
72,27,26,6,2,47
84,30,36,7,3,66
91,25,34,7,4,59
76,29,36,7,3,66
77,35,27,8,3,62
83,28,33,5,4,61
78,23,32,7,2,60
94,39,30,9,3,70
86,28,36,7,3,63
81,30,32,7,2,58
78,31,29,7,2,60
87,30,32,7,3,62
87,33,40,9,3,79
80,25,29,5,2,48
84,25,35,6,3,53
82,38,33,7,2,69
74,33,31,7,3,65
87,34,36,9,3,78
86,32,26,7,2,58
88,30,35,9,2,61
91,36,40,8,3,76
86,32,30,7,3,61
88,33,25,6,2,54
85,31,40,8,3,69
72,25,24,6,2,42
82,31,36,9,3,64
91,33,35,8,2,65
81,27,23,5,2,44
83,32,40,9,3,83
83,31,28,6,3,54
100,29,33,8,3,70
80,30,19,5,3,46
72,37,28,9,3,64
72,21,30,6,1,39
87,30,34,8,2,65
79,25,25,6,2,52
83,35,30,7,3,64
89,32,30,6,3,63
91,34,27,7,3,71
79,28,27,6,2,58
100,33,40,9,3,78
98,33,33,8,3,65
98,35,37,8,3,76
89,38,36,7,4,77
87,26,26,6,3,52
87,34,32,9,2,66
93,40,37,9,4,88
71,34,33,7,2,70
95,37,37,9,4,71
92,31,31,7,4,66
88,37,36,9,3,70
93,40,36,10,2,75
88,37,27,8,4,74
79,25,40,7,3,64
88,31,35,6,3,64
90,31,35,8,3,69
79,35,31,8,2,62
83,26,34,7,2,61
84,40,31,6,3,58
80,37,32,8,3,65
97,33,33,7,3,70
88,31,34,8,3,68
83,32,29,7,3,59
96,32,35,7,4,84
82,35,29,6,3,59
58,25,27,6,2,43
72,30,25,7,4,56
84,40,31,8,3,76
93,39,39,9,3,89
92,29,36,8,3,65
80,32,31,8,3,63
86,40,23,8,3,65
81,29,26,7,3,58
77,28,28,6,2,53
94,33,30,7,3,69
95,33,30,8,3,76
78,34,31,8,2,53
87,33,32,8,3,67
75,25,28,6,3,48
88,31,37,9,3,78
90,32,31,6,3,63
89,29,39,8,3,76
96,39,40,9,3,86
88,29,34,8,3,69
87,37,28,8,3,59
92,39,33,8,4,81
83,29,32,7,2,62
78,27,34,7,2,49
73,32,29,9,2,61
88,40,33,9,3,73
68,32,27,7,3,56
88,33,34,8,3,73
84,34,29,7,3,60
84,40,35,9,3,80
100,34,32,9,3,78
70,24,28,7,2,41
72,34,28,7,3,61
70,30,32,8,3,61
80,30,32,8,3,71
84,34,39,9,2,80
98,34,40,9,4,80
71,22,25,6,2,39
69,24,26,7,3,46
88,34,28,8,2,59
94,38,35,8,4,90
84,33,28,8,3,65
90,37,33,7,4,76
76,30,29,6,3,63
83,34,36,8,3,75
82,31,27,7,2,55
100,37,34,7,3,79
78,28,35,7,2,59
74,28,27,6,3,51
83,26,26,5,3,40
79,37,33,7,3,64
80,36,34,8,3,65
73,30,28,7,2,48
85,27,29,7,3,56
75,31,33,8,3,60
100,39,37,9,4,80
85,40,30,8,3,73
95,39,31,8,3,73
73,28,24,6,2,44
78,27,28,6,3,46
84,32,33,7,2,63
76,27,28,6,2,41
87,39,25,8,3,59
73,32,33,7,3,65
100,33,37,9,3,80
84,29,26,6,3,59
72,30,24,7,2,49
97,40,25,7,3,69
74,28,31,6,3,53
80,31,28,7,3,64
90,26,37,8,3,63
80,30,33,7,3,63
80,27,25,7,4,51
72,18,30,5,2,37
90,31,36,8,2,68
100,29,40,7,4,77
91,32,35,8,3,71
79,29,35,7,3,56
74,29,31,9,3,60
76,20,32,7,3,50
87,35,23,5,3,56
78,33,30,7,3,63
85,27,32,7,3,54
75,26,32,6,1,50
88,34,31,8,2,61
89,35,31,8,4,73
73,23,35,8,2,52
85,36,31,9,3,74
86,31,31,6,2,53
90,35,29,8,2,59
83,23,23,5,3,46
96,40,35,9,4,85
75,23,23,7,2,44
94,34,39,9,3,79
91,40,35,9,3,83
100,37,37,8,2,73
89,32,30,8,3,63
92,35,34,8,2,66
80,31,32,8,2,62
73,32,26,7,2,52
93,27,37,7,3,66
87,27,35,8,2,70
86,37,33,8,3,66
70,28,29,7,3,44
89,32,39,8,3,71
88,30,25,7,2,49
97,40,38,9,4,81
82,31,28,6,2,52
78,38,27,7,2,57
78,30,33,9,2,61
82,29,40,8,3,59
97,32,38,7,3,64
